obs;enrl_tot;teachers;calw_pct;meal_pct;computer;testscr;comp_stu;expn_stu;str;avginc;el_pct;read_scr;math_scr
1;195;10,900;0,51020;2,0408;67;690,8000;0,3435898;6384,911;17,88991;22,69000;0,00000;691,6000;690,0000
2;240;11,150;15,41670;47,9167;101;661,2000;0,4208333;5099,381;21,52466;9,82400;4,58333;660,5000;661,9000
3;1550;82,900;55,03230;76,3226;169;643,6000;0,1090323;5501,955;18,69723;8,97800;30,00000;636,3000;650,9000
4;243;14,000;36,47540;77,0492;85;647,7000;0,3497942;7101,831;17,35714;8,97800;0,00000;651,9000;643,5000
5;1335;71,500;33,10860;78,4270;171;640,8500;0,1280899;5235,988;18,67133;9,08033;13,85768;641,8000;639,9000
6;137;6,400;12,31880;86,9565;25;605,5500;0,1824818;5580,147;21,40625;10,41500;12,40876;605,7000;605,4000
7;195;10,000;12,90320;94,6237;28;606,7500;0,1435897;5253,331;19,50000;6,57700;68,71795;604,5000;609,0000
8;888;42,500;18,80630;100,0000;66;609,0000;0,07432;4565,746;20,89412;8,17400;46,95946;605,5000;612,5000
9;379;19,000;32,19000;93,1398;35;612,5000;0,09235;5355,548;19,94737;7,38500;30,07916;608,9000;616,1000
10;2247;108,000;78,99420;87,3164;0;612,6500;0,0000;5036,211;20,80556;11,61333;40,27592;611,9000;613,4000
11;446;21,000;18,60990;85,8744;86;615,7500;0,1928251;4547,692;21,23809;8,93100;52,91480;612,8000;618,7000
12;987;47,000;71,71310;98,6056;56;616,3000;0,05674;5447,345;21,00000;7,38500;54,60993;616,6000;616,0000
13;103;5,000;22,42990;98,1308;25;616,3000;0,2427184;6567,149;20,60000;5,33500;42,71844;612,8000;619,8000
14;487;24,340;24,60940;77,1484;0;616,3000;0,0000;4818,613;20,00822;8,27900;20,53388;610,0000;622,6000
15;649;36,000;14,63790;76,2712;31;616,4500;0,04777;5621,456;18,02778;9,63000;80,12326;611,9000;621,0000
16;852;42,070;24,21420;94,2957;80;617,3500;0,09390;6026,360;20,25196;7,45400;49,41314;614,8000;619,9000
17;491;28,920;11,20160;97,7597;100;618,0500;0,2036660;6723,238;16,97787;6,21600;85,53972;611,7000;624,4000
18;421;25,500;8,55110;77,9097;50;618,3000;0,1187648;5589,885;16,50980;7,76400;58,90736;614,9000;621,7000
19;6880;303,030;21,28240;94,9712;960;619,8000;0,1395349;5064,616;22,70402;7,02200;77,00581;619,1000;620,5000
20;2688;135,000;23,43750;93,2292;139;620,3000;0,05171;5433,593;19,91111;5,69900;49,81399;621,3000;619,3000
21;440;24,000;34,77270;100,0000;69;620,5000;0,1568182;5725,563;18,33333;7,94100;40,68182;615,6000;625,4000
22;475;21,000;21,64950;91,5464;53;621,4000;0,1115789;4542,105;22,61905;9,63000;16,21053;619,9000;622,9000
23;2538;130,500;18,91110;70,8167;169;621,7500;0,06659;5107,086;19,44828;7,40500;45,07486;622,9000;620,6000
24;476;19,000;43,85590;100,0000;0;622,0500;0,0000;4659,662;25,05263;9,63000;39,07563;620,7000;623,4000
25;2357;114,000;16,80100;90,6237;216;622,6000;0,09164;4555,464;20,67544;8,01900;76,66525;619,5000;625,7000
26;1588;85,000;22,40720;85,1472;198;623,1000;0,1246851;5415,153;18,68235;8,52300;40,49118;625,0000;621,2000
